title,url,date
"FOMC Press Conference November 7, 2024",https://www.youtube.com/watch?v=8rQlEH86FCM,2024-11-07
"FOMC Press Conference November 7, 2024",https://www.youtube.com/watch?v=3adfVQCpEBk,2024-11-07
"FOMC Press Conference September 18, 2024",https://www.youtube.com/watch?v=8S7JjIcIrkI,2024-09-18
"FOMC Press Conference, July 31, 2024",https://www.youtube.com/watch?v=d1wx4mCqYF8,2024-07-31
"FOMC Press Conference, June 12, 2024",https://www.youtube.com/watch?v=q3ZE5tF_IMU,2024-06-12
"FOMC Press Conference, May 1, 2024",https://www.youtube.com/watch?v=hiXDxXbSAC8,2024-05-01
"FOMC Press Conference, March 20, 2024",https://www.youtube.com/watch?v=UYnc6bsgkJQ,2024-03-20
"FOMC Press Conference June 12, 2024",https://www.youtube.com/watch?v=YqaxWf7gsQA,2024-06-12
"FOMC Press Conference, January 31, 2024",https://www.youtube.com/watch?v=eIcrvB5Rf9k,2024-01-31
"FOMC Press Conference May 1, 2024",https://www.youtube.com/watch?v=o0unztmcLvA,2024-05-01
"FOMC Press Conference June 10, 2020",https://www.youtube.com/watch?v=kz0o3NJQpX0,2020-06-10
"FOMC Press Conference September 21, 2022",https://www.youtube.com/watch?v=durR-4fCG2g,2022-09-21
"FOMC Press Conference, March 16, 2022",https://www.youtube.com/watch?v=NjWIIjrx7R4,2022-03-16
"FOMC Press Conference Introductory Statement, March 22, 2023",https://www.youtube.com/watch?v=Sq0Vgesa3eE,2023-03-22
"FOMC Press Conference, July 27, 2022",https://www.youtube.com/watch?v=H-dV2VUNh4E,2022-07-27
"FOMC Press Conference May 1, 2019: Introductory Statement",https://www.youtube.com/watch?v=2h64_9SixPI,2019-05-01
"FOMC Press Conference June 19, 2019",https://www.youtube.com/watch?v=zEuJUFGpnrg,2019-06-19
"FOMC Press Conference September 20, 2017",https://www.youtube.com/watch?v=aXVZECu99Jc,2017-09-20
"FOMC Press Conference July 29, 2020",https://www.youtube.com/watch?v=fVUGwgLTzbw,2020-07-29
"FOMC Press Conference Introductory Statement, September 20, 2023",https://www.youtube.com/watch?v=aoSpFHCrtLM,2023-09-20
"FOMC Press Conference, July 26, 2023",https://www.youtube.com/watch?v=t1RDj1CMnLA,2023-07-26
"FOMC Press Conference June 17, 2015",https://www.youtube.com/watch?v=YldujEAZOn8,2015-06-17
"FOMC Press Conference December 19, 2018",https://www.youtube.com/watch?v=e_t-CuKEAhA,2018-12-19
"FOMC Press Conference October 30, 2019: Introductory Statement",https://www.youtube.com/watch?v=3vwF4uOprCE,2019-10-30
"FOMC Press Conference Introductory Statement, January 27, 2021",https://www.youtube.com/watch?v=7P2Z-7SDIko,2021-01-27
"FOMC Press Conference March 18, 2015",https://www.youtube.com/watch?v=bzDmnKxmD-E,2015-03-18
"FOMC Press Conference April 25, 2012",https://www.youtube.com/watch?v=5ma81tGvRp8,2012-04-25
"FOMC Press Conference December 11, 2019: Introductory Statement",https://www.youtube.com/watch?v=KFqLDZV7NNs,2019-12-11
"FOMC Press Conference Introductory Statement, May 4, 2022",https://www.youtube.com/watch?v=jqmDUjllCx8,2022-05-04
"FOMC Press Conference Introductory Statement, July 27, 2022",https://www.youtube.com/watch?v=YCvxnhUpZNs,2022-07-27
"FOMC Press Conference September 17, 2014",https://www.youtube.com/watch?v=C2tET0EzzcI,2014-09-17
"FOMC Press Conference Introductory Statement, July 28, 2021",https://www.youtube.com/watch?v=zgUisYMHBZ0,2021-07-28
"FOMC Press Conference September 21, 2016",https://www.youtube.com/watch?v=hPabsTLfBos,2016-09-21
"FOMC Press Conference March 19, 2014",https://www.youtube.com/watch?v=N7F5qwcmDWE,2014-03-19
"FOMC Press Conference September 26, 2018: Introductory Statement",https://www.youtube.com/watch?v=2u9uikmo9JQ,2018-09-26
"FOMC Press Conference, November 5, 2020",https://www.youtube.com/watch?v=ydsRMdMdIHQ,2020-11-05
"FOMC Press Conference September 17, 2015",https://www.youtube.com/watch?v=Z5-Jc3l42-g,2015-09-17
"FOMC Press Conference Introductory Statement, September 16, 2020",https://www.youtube.com/watch?v=tV-Ewza6fz8,2020-09-16
"FOMC Press Conference January 30, 2019: Introductory Statement",https://www.youtube.com/watch?v=-yT9yuR6Rtk,2019-01-30
"FOMC Press Conference September 16, 2020",https://www.youtube.com/watch?v=jmjLFtvSvT8,2020-09-16
"FOMC Press Conference, December 16, 2020",https://www.youtube.com/watch?v=b6J2tkhu9VU,2020-12-16
"FOMC Press Conference July 31, 2019",https://www.youtube.com/watch?v=6CNOi7onj2s,2019-07-31
"FOMC Press Conference December 11, 2019",https://www.youtube.com/watch?v=GGae2FO4t6U,2019-12-11
"FOMC Press Conference September 13, 2012",https://www.youtube.com/watch?v=pf8DrjlCY2g,2012-09-13
"FOMC Press Conference June 15, 2016",https://www.youtube.com/watch?v=IBmC5RiIg9E,2016-06-15
"FOMC Press Conference January 25, 2012",https://www.youtube.com/watch?v=60mw8kkXFSA,2012-01-25
"FOMC Press Conference January 29, 2020",https://www.youtube.com/watch?v=lQXF9kwHb5s,2020-01-29
"FOMC Press Conference, July 26, 2023",https://www.youtube.com/watch?v=t1RDj1CMnLA,2023-07-26
"FOMC Press Conference, September 22, 2021",https://www.youtube.com/watch?v=44lawMt0hvc,2021-09-22
"FOMC Press Conference June 19, 2019: Introductory Statement",https://www.youtube.com/watch?v=Z9eq9IHgpDU,2019-06-19
"FOMC Press Conference January 29, 2020: Introductory Statement",https://www.youtube.com/watch?v=N7irnDTOi1w,2020-01-29
"FOMC Press Conference December 18, 2013",https://www.youtube.com/watch?v=J0Ma3twcFkY,2013-12-18
"FOMC Press Conference December 12, 2012",https://www.youtube.com/watch?v=s8EIL8lMcYQ,2012-12-12
"FOMC Press Conference December 12, 2012",https://www.youtube.com/watch?v=s8EIL8lMcYQ,2012-12-12
"FOMC Press Conference, June 16, 2021",https://www.youtube.com/watch?v=PDWPZkLcWgE,2021-06-16
"FOMC Press Conference Introductory Statement, March 17, 2021",https://www.youtube.com/watch?v=vXcq5M5IQeo,2021-03-17
"FOMC Press Conference April 29, 2020",https://www.youtube.com/watch?v=g3Af2ntyQyU,2020-04-29
"FOMC Press Conference March 20, 2019: Introductory Statement",https://www.youtube.com/watch?v=YYzHaZ6c68E,2019-03-20
"FOMC Press Conference June 13, 2018: Introductory Statement",https://www.youtube.com/watch?v=GX2bvFEYnKQ,2018-06-13
"FOMC Press Conference March 16, 2016",https://www.youtube.com/watch?v=aodavML_cB8,2016-03-16
"FOMC Press Conference, January 27, 2021",https://www.youtube.com/watch?v=R8wxdyEULtg,2021-01-27
"FOMC Press Conference Introductory Statement, November 5, 2020",https://www.youtube.com/watch?v=9TxnnNHIM94,2020-11-05
"FOMC Press Conference June 19, 2013",https://www.youtube.com/watch?v=UMGas9ZbG9U,2013-06-19
"FOMC Press Conference Introductory Statement, July 29, 2020",https://www.youtube.com/watch?v=XwN1l6kwods,2020-07-29
"FOMC Press Conference October 30, 2019",https://www.youtube.com/watch?v=-POrkH47u8k,2019-10-30
